rank	   KS	accession	description
1232	34560	U78575_at	"68 kDa type I phosphatidylinositol-4-phosphate 5-kinase alpha mRNA, clone PIP5KIa1"
1233	34560	U02680_at	Protein tyrosine kinase mRNA
1234	34551	M73547_at	POLYPOSIS LOCUS PROTEIN 1
1235	34486	X81198_at	COATOMER DELTA SUBUNIT
1236	34402	AF001359_f_at	"GB DEF = DNA mismatch repair protein (hMLH1) mRNA, alternatively spliced, partial cds"
1237	34382	X96484_at	DGCR6 protein
1238	34318	X54232_at	GPC1 Glypican 1
1239	34318	J02611_at	APOD Apolipoprotein D
1240	34277	U70322_at	Transportin (TRN) mRNA
1241	34268	U41060_at	"Breast cancer, estrogen regulated LIV-1 protein (LIV-1) mRNA, partial cds"
1242	34173	X51420_at	TYRP1 Tyrosinase-related protein 1
1243	34077	D25547_at	PIMT isozyme I
1244	34025	U61263_at	Acetolactate synthase homolog mRNA
1245	33972	L76568_xpt3_f_at	"S26 from  Homo sapiens excision and cross link repair protein (ERCC4) gene, complete genomic sequence./ntype=DNA /annot=exon"
1246	33952	D87437_at	KIAA0250 gene
1247	33951	L18920_f_at	MELANOMA-ASSOCIATED ANTIGEN 2
1248	33941	D21262_at	"KIAA0035 gene, partial cds"
1249	33919	U81375_at	Placental equilibrative nucleoside transporter 1 (hENT1) mRNA
1250	33909	X04085_rna1_at	"Catalase (EC 1.11.1.6) 5'flank and exon 1 mapping to chromosome 11, band p13 (and joined CDS)"
1251	33889	U41387_at	"Gu protein mRNA, partial cds"
1252	33879	L14076_at	PRE-MRNA SPLICING FACTOR SRP75
1253	33835	J03263_s_at	LAMP1 Lysosome-associated membrane protein 1
1254	33814	M63167_at	AKT1 V-akt murine thymoma viral oncogene homolog 1
1255	33710	J05633_at	ITGB5 Integrin beta-5 subunit
1256	33679	D63479_s_at	DAGK4 Diacylglycerol kinase delta
1257	33678	J05243_at	"SPTAN1 Spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)"
1258	33596	U77718_at	Desmosome associated protein pinin mRNA
1259	33594	Y08200_at	"Rab geranylgeranyl transferase, alpha-subunit"
1260	33563	U31556_at	"E2F5 E2F transcription factor 5, p130-binding"
1261	33509	L48546_at	TSC2 Tuberin
1262	33416	U10362_at	GP36b glycoprotein mRNA
1263	33384	U90549_at	Non-histone chromosomal protein (NHC) mRNA
1264	33344	U16954_at	(AF1q) mRNA
1265	33310	M97936_at	SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 1-ALPHA/BETA
1266	33300	U70321_at	Herpesvirus entry mediator mRNA
1267	33216	U70323_at	"SCA2 Spinocerebellar ataxia 2 (olivopontocerebellar ataxia 2, autosomal dominant)"
1268	33131	M77348_rna1_s_at	Pmel 17 mRNA
1269	32954	U44755_at	PSE-binding factor PTF delta subunit mRNA
1270	32921	M97815_at	CRABP2 Cellular retinoic acid-binding protein 2
1271	32890	D63851_at	Unc-18 homologue
1272	32838	U96131_at	HPV16 E1 protein binding protein mRNA
1273	32838	X99688_at	mRNA from TYL gene
1274	32798	Y09616_at	Carboxylesterase (hCE-2) mRNA
1275	32755	X94563_xpt2_r_at	Exon 1b; used only in type 2 transcripts from  H.sapiens dbi/acbp gene exon 1 & 2./ntype=DNA /annot=exon
1276	32672	L43631_at	"Scaffold attachment factor (SAF-B) gene, partial cds"
1277	32502	D86963_at	PTB Ribosomal protein L26
1278	32409	X90872_at	Gp25L2 protein
1279	32271	D79997_at	KIAA0175 gene
1280	32261	U32114_at	Caveolin-2 mRNA
1281	32240	M60922_at	Surface antigen mRNA
1282	32220	M55210_at	"LAMC1 Laminin, gamma 1 (formerly LAMB2)"
1283	32210	D00723_at	GCSH Glycine cleavage system protein H (aminomethyl carrier)
1284	32156	AB002559_at	Hunc18b2
1285	32156	X66397_at	"RPL7A Neurotrophic tyrosine kinase, receptor, type 1"
1286	32124	AB000220_at	Semaphorin E
1287	32084	M24486_s_at	"P4HA Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide"
1288	32071	M14016_at	UROD Uroporphyrinogen decarboxylase
1289	32010	Z24725_at	Mitogen inducible gene mig-2
1290	31978	L77213_at	Phosphomevalonate kinase mRNA
1291	31945	X69699_at	Pax8 mRNA
1292	31924	D79991_at	"KIAA0169 gene, partial cds"
1293	31905	U57721_at	L-kynurenine hydrolase mRNA
1294	31905	L20859_at	Leukemia virus receptor 1 (GLVR1) mRNA
1295	31904	X86691_at	218kD Mi-2 protein
1296	31799	HG1879-HT1919_at	Ras-Like Protein Tc10
1297	31715	L13848_at	LKP DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 9 (RNA helicase A)
1298	31713	U09770_at	Cysteine-rich heart protein (hCRHP) mRNA
1299	31600	K03460_at	"Alpha-tubulin isotype H2-alpha gene, last exon"
1300	31547	L29218_at	Clk2 mRNA
1301	31529	D29992_at	TISSUE FACTOR PATHWAY INHIBITOR 2 PRECURSOR
1302	31527	D10522_at	MACS Myristoylated alanine-rich C-kinase substrate
1303	31527	X60955_s_at	TYRP1 Tyrosinase-related protein 1
1304	31463	X83425_at	LU gene for Lutheran blood group glycoprotein
1305	31432	L13740_at	HMR Hormone receptor (growth factor-inducible nuclear protein N10)
1306	31357	X66363_at	SERINE/THREONINE-PROTEIN KINASE PCTAIRE-1
1307	31295	X91788_at	Icln protein
1308	31200	Z14000_at	RING1 Ring finger protein 1
1309	31189	D42084_at	"KIAA0094 gene, partial cds"
1310	31171	S69231_s_at	"DCT Dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)"
1311	31148	U82130_at	Tumor susceptiblity protein (TSG101) mRNA
1312	31044	U94832_at	KH type splicing regulatory protein KSRP mRNA
1313	30918	X71125_at	Glutamine cyclotransferase
1314	30917	D50911_at	KIAA0121 gene
1315	30864	M55150_at	FAH Fumarylacetoacetate
1316	30802	M90656_at	"GLCLC Glutamate-cysteine ligase (gamma-glutamylcysteine synthetase), catalytic (72.8kD)"
1317	30709	L13720_at	Growth-arrest-specific protein (gas) mRNA
1318	30667	M62994_at	Thyroid autoantigen (truncated actin-binding protein) mRNA
1319	30654	X16416_at	ABL1 V-abl Abelson murine leukemia viral oncogene homolog 1
1320	30644	L18972_at	Anonymous gene
1321	30632	U37122_at	ADD3 Adducin 3 (gamma)
1322	30604	L14837_at	TJP1 Tight junction protein 1 (zona occludens 1)
1323	30581	L76517_at	(clone cc44) senilin 1 (PS1; S182) mRNA
1324	30466	U45285_at	Specific 116-kDa vacuolar proton pump subunit (OC-116KDa) mRNA
1325	30424	X65965_s_at	GB DEF = SOD-2 gene for manganese superoxide dismutase
1326	30424	U18300_at	DDB2 Damage-specific DNA binding protein 2 (48 kD)
1327	30349	HG1728-HT1734_s_at	"Non-Specific Cross Reacting Antigen (Gb:D90277), Alt. Splice Form 2"
1328	30224	D63487_at	"KIAA0153 gene, partial cds"
1329	30213	D63876_at	"KIAA0154 gene, partial cds"
1330	30152	D42053_at	KIAA0091 gene
1331	30119	X79353_at	Rab GDI alpha
1332	30111	K02765_at	COMPLEMENT C3 PRECURSOR
1333	30047	U80184_rna1_at	FLII gene
1334	29953	X54667_s_at	CST4 Cystatin S
1335	29951	X61100_rna1_at	75 kDa subunit NADH dehydrogenase precursor gene extracted from Human mRNA for mitochondrial 75 kDa iron sulphur protein
1336	29942	U73843_at	Epithelial-specific transcription factor ESE-1b (ESE-1) mRNA
1337	29919	X98263_at	"M-phase phosphoprotein, mpp6"
1338	29910	X76717_at	MT1L Metallothionein 1L
1339	29845	M31211_s_at	MYL1 Myosin light chain (alkali)
1340	29845	L25851_at	INTEGRIN ALPHA-E PRECURSOR
1341	29689	U16799_s_at	"Na,K-ATPase beta-1 subunit mRNA"
1342	29604	X59543_at	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE M1 CHAIN
1343	29553	U59321_at	DEAD-box protein p72 (P72) mRNA
1344	29521	M96233_s_at	GSTM4 Glutathione S-transferase M4
1345	29500	X04470_s_at	RPL32 Ribosomal protein L32
1346	29480	X63469_at	"GTF2E2 General transcription factor TFIIE beta subunit, 34 kD"
1347	29384	U28963_at	Gps2 (GPS2) mRNA
1348	29365	M26665_s_at	HISTATIN 3 PRECURSOR
1349	29344	L11370_at	Protocadherin 42 mRNA for abbreviated PC42
1350	29258	L29277_at	STAT3 Signal transducer and activator of transcription 3 (acute-phase response factor)
1351	29256	U58970_at	Putative outer mitochondrial membrane 34 kDa translocase hTOM34 mRNA
1352	29237	U59752_at	"Sec7p-like protein mRNA, partial cds"
1353	29217	M22490_at	BMP4 Bone morphogenetic protein 4
1354	29215	D50525_at	GB DEF = TI-227H
1355	29195	D63880_at	KIAA0159 gene
1356	29194	L18983_at	Tyrosine phosphatase (IA-2/PTP) mRNA
1357	29164	U50743_at	"Na,K-ATPase gamma subunit mRNA"
1358	29153	U51334_at	Putative RNA binding protein (RBP56) mRNA
1359	29101	X63679_at	TRAMP protein
1360	29049	M37197_at	COUP TRANSCRIPTION FACTOR
1361	29048	D16481_at	Mitochondrial 3-ketoacyl-CoA thiolase beta-subunit of trifunctional protein
1362	29038	M77698_at	YY1 YY1 transcription factor
1363	29006	U22431_s_at	MOP1 mRNA
1364	29006	U66468_at	Cell growth regulator CGR11 mRNA
1365	28985	D25218_at	"KIAA0112 gene, partial cds"
1366	28965	X66114_rna1_at	2-oxoglutarate carrier protein
1367	28933	U20979_at	Chromatin assembly factor-I p150 subunit mRNA
1368	28870	X55079_rna1_at	GAA gene extracted from Human lysosomal alpha-glucosidase gene exon 1
1369	28639	L13738_at	Activated p21cdc42Hs kinase (ack) mRNA
1370	28607	M85289_at	HSPG2 Heparan sulfate proteoglycan
1371	28586	U34880_at	DPH2L
1372	28576	X87237_at	Processing a-glucosidase I
1373	28554	L19067_at	TRANSCRIPTION FACTOR P65
1374	28484	J04469_at	Mitochondrial creatine kinase (CKMT) gene
1375	28450	L20591_at	ANX3 Annexin III (lipocortin III)
1376	28450	D86967_at	KIAA0212 gene
1377	28440	X59405_at	"MCP Membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen)"
1378	28364	M74542_at	ALDH3 Aldehyde dehydrogenase 3
1379	28282	U68142_at	"RalGDS-like 2 (RGL2) mRNA, partial cds"
1380	28271	HG3638-HT3849_s_at	"Amyloid Beta (A4) Precursor Protein, Alt. Splice 2, A4(751)"
1381	28240	U11292_at	Ki nuclear autoantigen mRNA
1382	28166	HG3995-HT4265_at	"Cpg-Enriched Dna, Clone S19"
1383	28134	U73167_cds5_at	"SM15 gene (human interferon-related protein SM15 (U09585); final exon similar to partial sequence of human EST R48415, but would require alternative splice) extracted from Human cosmid LUCA14"
1384	28092	D21089_at	"XPC Xeroderma pigmentosum, complementation group C"
1385	28061	U31814_at	Transcriptional regulator homolog RPD3 mRNA
1386	28009	X97065_at	"Sec23B isoform, 2450bp"
1387	27958	L40392_at	"(clone S164) mRNA, 3' end of cds"
1388	27935	U58766_at	FX protein mRNA
1389	27904	U90909_at	Clone 23722 mRNA sequence
1390	27882	AFFX-M27830_5_at	AFFX-M27830_5_at (endogenous control)
1391	27852	S80562_at	"CNN3 Calponin 3, acidic"
1392	27841	U01212_at	GB DEF = Olfactory marker protein (OMP) gene
1393	27832	L27943_at	CDA Cytidine deaminase
1394	27779	M13560_s_at	PROBABLE PROTEIN DISULFIDE ISOMERASE ER-60 PRECURSOR
1395	27767	X66945_at	FGFR1 Basic fibroblast growth factor (bFGF) receptor (shorter form)
1396	27494	U79266_at	Clone 23627 mRNA
1397	27472	U49188_at	Placenta (Diff33) mRNA
1398	27412	L12392_at	HD Huntingtin (Huntington disease)
1399	27400	X71490_at	"ATP6E ATPase, H+ transporting, lysosomal (vacuolar proton pump) 31kD"
1400	27388	U84573_at	Lysyl hydroxylase isoform 2 (PLOD2) mRNA
1401	27326	X76538_at	"MPV17 MpV17 transgene, murine homolog, glomerulosclerosis"
1402	27295	U48437_at	Amyloid precursor-like protein 1 mRNA
1403	27263	D49490_at	Protein disulfide isomerase-related protein (PDIR)
1404	27263	Z93784_at	"GB DEF = DNA sequence from PAC 398C22 on chromosome 22q11.2-qter. Contains Brain Protein E46 like sequences, ESTs"
1405	27252	X51688_at	CCNA Cyclin A
1406	27201	Z30644_at	GB DEF = Chloride channel (putative) 2163bp
1407	27200	L22548_at	"COL18A1 Collagen, type XVIII, alpha 1"
1408	27179	M88338_at	SERUM PROTEIN MSE55
1409	27148	D26535_s_at	DLST Dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)
1410	27117	X98534_s_at	"VASP gene, exons 4 to 13"
1411	27116	D78335_at	5'-terminal region of UMK
1412	27116	M55265_at	"CSNK2A1 Casein kinase 2, alpha 1 polypeptide"
1413	27045	S45630_at	CRYAB Crystallin alpha-B
1414	27043	M16652_at	"ELA1 Elastase 1, pancreatic (elastase IIA)"
1415	26970	U04810_at	DbpB-like protein mRNA
1416	26918	Z24724_at	PolyA site DNA
1417	26917	U01062_at	"ITPR3 Inositol 1,4,5-triphosphate receptor, type 3"
1418	26885	U86529_at	Glutathione transferase Zeta 1 (GSTZ1) mRNA
1419	26875	U80017_rna3_at	"Smn gene (survival motor neuron protein SMN) extracted from Human basic transcription factor 2 p44 (btf2p44) gene, partial cds, neuronal apoptosis inhibitory protein (naip) and survival motor neuron protein (smn) genes"
1420	26822	D31766_at	PUTATIVE GLUCOSAMINE-6-PHOSPHATE ISOMERASE
1421	26791	HG3748-HT4018_at	"Basic Transcription Factor, 44 Kda Subunit"
1422	26770	M34677_at	FACTOR VIII INTRON 22 PROTEIN
1423	26760	X16665_at	HOXB2 Homeo box B2
1424	26717	D13640_at	"HLA-C Major histocompatibility complex, class I, C"
1425	26708	X05196_at	Aldolase C gene
1426	26644	X76057_at	MPI Mannose phosphate isomerase
1427	26635	U07664_at	HB9 homeobox gene
1428	26560	L42601_f_at	"KERATIN, TYPE II CYTOSKELETAL 6D"
1429	26476	X70394_at	OZF mRNA
1430	26455	U94319_at	"Autoantigen DFS70 mRNA, partial cds"
1431	26403	D63477_at	"KIAA0143 gene, partial cds"
1432	26362	X67155_at	MITOTIC KINESIN-LIKE PROTEIN-1
1433	26329	D50683_at	"TGFBR2 Transforming growth factor, beta receptor II (70-80kD)"
1434	26286	U33936_s_at	GB DEF = Adenosine kinase mRNA
1435	26277	U77665_at	RNaseP protein p30 (RPP30) mRNA
1436	26257	D28383_at	"GB DEF = ATP synthase B chain, 5'UTR (sequence from the 5'cap to the start codon)"
1437	26193	U06863_at	Follistatin-related protein precursor mRNA
1438	26150	L19267_at	"59 protein mRNA, 3' end"
1439	26140	M31525_at	"HLA-DNA Major histocompatibility complex, class II, DN alpha"
1440	26129	U81554_at	CaM kinase II isoform mRNA
1441	26121	X55740_at	NT5 5' nucleotidase (CD73)
1442	26121	L25444_at	TBP-associated factor TAFII80 mRNA
1443	26089	U60644_at	HU-K4 mRNA
1444	26078	D83735_at	Adult heart mRNA for neutral calponin
1445	26055	L15702_at	"BF B-factor, properdin"
1446	26025	U65928_at	JUN V-jun avian sarcoma virus 17 oncogene homolog
1447	26005	U45975_at	"Phosphatidylinositol (4,5)bisphosphate 5-phosphatase homolog mRNA, partial cds"
1448	26004	D31764_at	KIAA0064 gene
1449	25961	Z29083_at	5T4 gene for 5T4 Oncofetal antigen
1450	25952	U20908_at	"GB DEF = Clone 350/2 melanoma ubiquitous mutated protein (MUM-1) gene, partial cds"
1451	25951	X98085_at	"TNR Tenascin R (restrictin, janusin)"
1452	25911	U53209_at	Transformer-2 alpha (htra-2 alpha) mRNA
1453	25878	U81006_at	P76 mRNA
1454	25817	X52003_at	"TFF1 Trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)"
1455	25806	U57316_at	GCN5 (hGCN5) gene
1456	25794	U58048_at	PRSM1 Metallopeptidase 1 (33 kD)
1457	25782	Z48199_at	SDC1 Syndecan 1
1458	25731	M63838_s_at	Interferon-gamma induced protein (IFI 16) gene
1459	25730	D26156_s_at	Transcriptional activator hSNF2b
1460	25700	AB002356_s_at	DENN mRNA
1461	25679	HG4747-HT5195_at	"Nadh-Ubiquinone Oxidoreductase, 51 Kda Subunit"
1462	25678	U37547_at	IAP homolog B (MIHB) mRNA
1463	25646	M65214_s_at	TCF3 Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)
1464	25625	D79984_s_at	KIAA0162 gene
1465	25596	U64105_at	"Guanine nucleotide exchange factor p115-RhoGEF mRNA, partial cds"
1466	25573	X98507_at	Myosin-I beta
1467	25563	D16294_at	3-KETOACYL-COA THIOLASE MITOCHONDRIAL
1468	25531	HG3527-HT3721_f_at	"Luteinizing Hormone, Beta Subunit"
1469	25522	J00073_at	"Alpha-cardiac actin gene, 5' flank and"
1470	25522	U09564_at	Serine kinase mRNA
1471	25520	J04080_at	"C1S Complement component 1, s subcomponent"
1472	25511	D87684_at	"KIAA0242 gene, partial cds"
1473	25510	J03589_at	UBIQUITIN-LIKE PROTEIN GDX
1474	25501	U34044_at	Selenium donor protein (selD) mRNA
1475	25425	M29877_at	"FUCA1 Fucosidase, alpha-L- 1, tissue"
1476	25396	M60483_rna1_s_at	Protein phosphatase-2A catalytic subunit-alpha gene extracted from Human protein phosphatase 2A catalytic subunit-alpha gene
1477	25384	L37792_at	Syntaxin 1A mRNA
1478	25331	U42412_at	"5'-AMP-activated protein kinase, gamma-1 subunit mRNA"
1479	25300	X92814_at	Rat HREV107-like protein
1480	25279	U10868_at	ALDH7 Aldehyde dehydrogenase 7
1481	25270	X66785_at	DBT Dihydrolipoamide branched chain transacylase (E2 component of branched chain keto acid dehydrogenase complex)
1482	25269	U79259_at	Clone 23945 mRNA
1483	25236	J03779_at	"MME Membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)"
1484	25203	U59878_at	"Low-Mr GTP-binding protein (RAB32) mRNA, partial cds"
1485	25142	HG4069-HT4339_s_at	Monocyte Chemotactic Protein 1
1486	25058	D83785_at	KIAA0200 gene
1487	25028	HG4318-HT4588_s_at	Lim-Domain Transcription Factor Lim-1
1488	24986	L35545_at	Endothelial cell protein C/APC receptor (EPCR) mRNA
1489	24963	X84707_rna1_at	MIA gene
1490	24932	X92098_at	Transmembrane protein rnp24
1491	24924	L16862_at	GPRK6 G protein-coupled receptor kinase 6
1492	24890	D85433_at	"GB DEF = MURR1 mRNA, sequence"
1493	24850	M87503_at	TRANSCRIPTIONAL REGULATOR ISGF3 GAMMA SUBUNIT
1494	24850	HG688-HT688_f_at	"Major Histocompatibility Complex, Class Ii, Dr Beta 2 (Gb:X65561)"
1495	24829	AF005775_at	"Caspase-like apoptosis regulatory protein 2 (clarp) mRNA, alternatively spliced"
1496	24798	U59831_rna1_s_at	"Transcription factor, forkhead related activator 4 (FREAC-4) gene"
1497	24797	AF002020_at	Niemann-Pick C disease protein (NPC1) mRNA
1498	24785	D29958_at	"KIAA0116 gene, partial cds"
1499	24754	M95623_cds1_at	PBGD gene (hydroxymethylbilane synthase) extracted from Homo sapiens hydroxymethylbilane synthase gene
1500	24733	U75679_at	Histone stem-loop binding protein (SLBP) mRNA
1501	24723	X59434_at	TST Thiosulfate sulfurtransferase (rhodanese)
1502	24723	D83542_at	Cadherin-15
1503	24660	U82311_at	"GB DEF = Unknown protein mRNA, partial cds"
1504	24630	U45973_at	"Phosphatidylinositol (4,5)bisphosphate 5-phosphatase homolog mRNA, partial cds"
1505	24620	J04430_s_at	"ACP5 Acid phosphatase 5, tartrate resistant"
1506	24618	Y08612_at	RABAPTIN-5 protein
1507	24618	D31891_at	KIAA0067 gene
1508	24599	X03100_cds2_at	HLA-SB alpha gene (class II antigen) extracted from Human HLA-SB(DP) alpha gene
1509	24587	U58089_at	"Hs-cul-3 mRNA, partial cds"
1510	24565	U79718_at	Endonuclease III homolog mRNA
1511	24556	M26576_cds2_at	COL4A1 gene (alpha-1 type IV collagen) extracted from Human alpha-1 collagen type IV gene
1512	24523	X76302_at	RY-1 mRNA for putative nucleic acid binding protein
1513	24513	M64929_at	"PPP2R2A Protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform"
1514	24513	U40998_at	Retinal protein (HRG4) mRNA
1515	24512	Z49878_at	Guanidinoacetate N-methyltransferase
1516	24491	U15552_at	Acidic 82 kDa protein mRNA
1517	24481	U73477_s_at	HLA-DR ASSOCIATED PROTEIN I
1518	24418	L20316_at	GCGR Glucagon receptor
1519	24408	M91083_at	DNA-binding protein (HRC1) mRNA
1520	24399	M63488_at	RPA1 Replication protein A1 (70kD)
1521	24261	U24152_at	P21-activated protein kinase (Pak1) gene
1522	24240	L25931_s_at	LBR Lamin B receptor
1523	24220	M30496_at	UBIQUITIN CARBOXYL-TERMINAL HYDROLASE ISOZYME L3
1524	24219	X76770_at	PAP mRNA
1525	24177	D80009_at	KIAA0187 gene
1526	24177	L20320_at	CDK7 Cyclin-dependent kinase 7 (homolog of Xenopus MO15 cdk-activating kinase)
1527	24124	M59911_at	ITGA3 Integrin alpha-3 subunit
1528	24115	M26665_at	HISTATIN 3 PRECURSOR
1529	24061	U65581_at	Ribosomal protein L3-like mRNA
1530	24009	S77356_at	"GB DEF = Transcript ch21=oligomycin sensitivity conferral protein oscp homolog [human, RF1,RF48 stomach cancer cell lines, mRNA, 262 nt]"
1531	23976	M22348_s_at	UQCRB Ubiquinol-cytochrome c reductase binding protein
1532	23957	L24783_at	GB DEF = mRNA fragment
1533	23947	M24766_s_at	"COL4A2 Collagen, type IV, alpha 2"
1534	23936	AB001106_at	GLIA MATURATION FACTOR BETA
1535	23862	L42542_at	RLIP76 protein mRNA
1536	23821	M24069_at	DNA-BINDING PROTEIN A
1537	23821	D83032_at	"Nuclear protein, NP220"
1538	23809	U75370_at	"Mitochondrial RNA polymerase mRNA, nuclear gene encoding mitochondrial protein"
1539	23799	U07132_at	"Orphan receptor mRNA, partial cds"
1540	23789	X74262_at	RETINOBLASTOMA BINDING PROTEIN P48
1541	23779	U10324_at	Nuclear factor NF90 mRNA
1542	23768	D79992_at	KIAA0170 gene
1543	23725	M80397_s_at	"POLD1 Polymerase (DNA directed), delta 1, catalytic subunit (125kD)"
1544	23704	X77366_at	TCF11 Transcription factor 11 (basic leucine zipper type)
1545	23694	X51804_at	PUTATIVE RECEPTOR PROTEIN
1546	23641	M32313_at	"SRD5A1 Steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)"
1547	23610	U18937_at	Histidyl-tRNA synthetase homolog (HO3) mRNA
1548	23599	U50196_at	ADK Adenosine kinase
1549	23559	L37882_at	Frizzled gene product mRNA
